id,name,type,staion_num,y,x,bus_guide
122000600,선릉역,일반차로,23807.0,37.504742,127.050793,미설치  
122000601,선릉역,일반차로,23808.0,37.505244,127.050562,미설치  
122000602,토마토저축은행.르네상스호텔,일반차로,23809.0,37.502773,127.044341,미설치  
122000603,LG데이콤(르네상스호텔),일반차로,23810.0,37.503248,127.0441,미설치  
122000604,역삼역,일반차로,23811.0,37.500375,127.036278,미설치  
122000605,역삼역,일반차로,23812.0,37.500377,127.034844,미설치  
122000606,강남역,일반차로,23813.0,37.498367,127.030113,미설치  
122000607,강남역12번출구,일반차로,23814.0,37.498712,127.029397,미설치  
122000609,강일주민센터,가로변전일,23999.0,37.566372,127.179147,미설치  
122000611,학여울역,중앙차로,0.0,37.496588,127.07136,미설치  
122000614,강남역,일반차로,23617.0,37.494264,127.02967,미설치  
122000615,뱅뱅사거리.영동중,일반차로,23996.0,37.486436,127.033397,미설치  
122000616,신논현역,일반차로,23641.0,37.500755,127.026579,미설치  
122000617,신사동,일반차로,23842.0,37.517654,127.019358,미설치  
122000618,타워펠리스,가로변시간,23840.0,37.489825,127.052447,미설치  
122000619,대치동,가로변전일,23839.0,37.493886,127.061372,미설치  
122000620,학여울역,가로변전일,23838.0,37.495859,127.067266,미설치  
122000621,개포동,일반차로,23837.0,37.488599,127.074525,미설치  
122000622,일원역,일반차로,23836.0,37.48346,127.084456,미설치  
122000623,수서역,일반차로,23835.0,37.487245,127.100889,미설치  
122000624,수서역,일반차로,23834.0,37.4875,127.103122,미설치  
122000625,일원역,일반차로,23833.0,37.483363,127.085792,미설치  
122000626,개포동,일반차로,23832.0,37.488859,127.073765,미설치  
122000627,학여울역,가로변전일,23831.0,37.495636,127.067629,미설치  
122000628,대치동,가로변전일,23830.0,37.493578,127.061606,미설치  
122000629,타워펠리스,일반차로,23829.0,37.489241,127.052099,미설치  
122000630,도곡동,가로변시간,23828.0,37.487849,127.049221,미설치  
122000631,신사동.더리버사이드호텔,일반차로,22822.0,37.517793,127.018656,미설치  
122000632,삼성역,일반차로,23826.0,37.510178,127.062816,미설치  
122000633,압구정역,가로변시간,23848.0,37.528598,127.03092,미설치  
122000634,학동사거리,일반차로,23847.0,37.522437,127.039484,미설치  
122000635,강남구청역,일반차로,23846.0,37.517465,127.041882,미설치  
122000636,청담역,일반차로,23845.0,37.519745,127.054749,미설치  
122000637,리베라호텔,가로변시간,23844.0,37.52377,127.05463,미설치  
122000638,미성아파트,가로변시간,23843.0,37.523524,127.021536,미설치  
122000639,프리마호텔,일반차로,23680.0,37.524527,127.052269,미설치  
122000640,마루공원,일반차로,23398.0,37.494823,127.083308,미설치  
122000641,대청초등학교,일반차로,23399.0,37.493871,127.086572,설치   
122000642,일원1동주민센터,일반차로,23400.0,37.491997,127.08763,설치   
122000643,학여울역,일반차로,23500.0,37.497144,127.071451,미설치  
122000644,학여울역,일반차로,23501.0,37.496679,127.071398,미설치  
122000645,선릉역,일반차로,23241.0,37.505447,127.051217,미설치  
122000646,탄천공영차고지,일반차로,23764.0,37.514883,127.066747,미설치  
122000647,탄천공영차고지,일반차로,23765.0,37.514916,127.066968,미설치  
122000648,탄천교(가상),가상정류장,23882.0,37.501319,127.072709,미설치  
122000649,탄천교(가상),가상정류장,23881.0,37.501536,127.073232,미설치  
122000651,도산공원사거리,일반차로,23155.0,37.52203,127.034595,미설치  
122000652,청담역,일반차로,23928.0,37.519483,127.054841,미설치  
122000654,신논현역,일반차로,23580.0,37.50196,127.025977,미설치  
122000655,이비스앰배서더호텔,일반차로,23927.0,37.505579,127.057528,미설치  
122000656,코엑스인터컨티넨탈호텔,일반차로,23916.0,37.513425,127.057048,미설치  
122000657,선정릉역라마다서울호텔,일반차로,23328.0,37.510554,127.045337,미설치  
122000658,베스트웨스턴강남호텔,일반차로,2697.0,37.50625,127.02993,미설치  
122000659,르네상스서울호텔,일반차로,2696.0,37.502584,127.041876,미설치  
122000660,노보텔앰배서더호텔,일반차로,23931.0,37.505511,127.028767,미설치  
122000661,신논현역르메르디앙서울호텔,일반차로,23930.0,37.504941,127.027109,미설치  
122000664,은곡마을진입로,일반차로,23434.0,37.465764,127.098699,미설치  
122000665,강남구보건소,일반차로,23200.0,37.515478,127.041773,미설치  
122000666,강남구보건소,일반차로,23290.0,37.515333,127.042155,설치   
122000668,영동대교남단(가상),가상정류장,23955.0,37.527875,127.052655,미설치  
122000672,성수대교남단(가상),가상정류장,23992.0,37.533628,127.030882,미설치  
122000673,세곡푸르지오,일반차로,23439.0,37.465062,127.096478,설치   
122000674,세곡푸르지오,일반차로,23437.0,37.464972,127.094703,설치   
122000675,은곡마을.강남신동아파밀리에,일반차로,23537.0,37.465026,127.102457,미설치  
122000676,삼성역,일반차로,23781.0,37.509755,127.063126,미설치  
122000679,LH푸르지오,일반차로,23939.0,37.467679,127.094122,미설치  
122000683,래미안강남힐즈,일반차로,23935.0,37.472406,127.097644,미설치  
122000686,못골마을.강남자곡아이파크,일반차로,23463.0,37.47326,127.101727,미설치  
122000687,못골마을,일반차로,23464.0,37.473102,127.101888,미설치  
122000688,세곡푸르지오,일반차로,23480.0,37.467538,127.093839,미설치  
122000689,세곡푸르지오,일반차로,23482.0,37.467688,127.093912,미설치  
122000690,세곡중학교.세명초등학교,일반차로,23448.0,37.470412,127.092048,미설치  
122000691,세곡중학교.세명초등학교,일반차로,23447.0,37.470248,127.091797,미설치  
122000692,래미안강남힐즈,일반차로,23446.0,37.472348,127.097381,미설치  
122000693,래미안강남힐즈,일반차로,23471.0,37.472291,127.09525,미설치  
122000694,삼정호텔,일반차로,23951.0,37.506237,127.031091,미설치  
122000695,강남한양수자인아파트,일반차로,23394.0,37.477818,127.113478,설치   
122000696,강남한양수자인아파트,일반차로,23393.0,37.478158,127.11335,설치   
122000697,프라마호텔,일반차로,23179.0,37.524873,127.051157,미설치  
122000698,세곡2지구3.4단지,일반차로,23528.0,37.476668,127.110393,설치   
122000699,대왕초등학교,일반차로,23454.0,37.465069,127.106555,설치   
122000701,강남현대힐스테이트에코,일반차로,23538.0,37.475011,127.104963,미설치  
122000702,강남더샵라르고오피스텔,일반차로,23530.0,37.475227,127.104817,설치   
122000703,도곡한신아파트,일반차로,23529.0,37.486546,127.041434,미설치  
122000706,영동대교(가상),가상정류장,23989.0,37.526625,127.05562,미설치  
122000707,영동대교(가상),가상정류장,23988.0,37.525961,127.055181,미설치  
122000708,성수대교(가상),가상정류장,23987.0,37.533095,127.034554,미설치  
