apt_code,name,type,road_addr,local1,local2,local3,local4,gene_type,apt_gene,apt_const,apt_area,apt_parking,x,y,car_road,train_n,bus_n,admin,medical,culture,eschool_n,kinder_n,d_center_n,edu_n,bank,mart,convin,cluster
A13980411,공릉동신,아파트,서울특별시 노원구 공릉로 213,서울,노원구,공릉동,745번지,분양,452,대성연합건축조합(주)동신,35931.0,0.0,127.0768621,37.6280155,3.0,1.0,10.0,5.0,16.0,1.0,2.0,11.0,19.0,23.0,5.0,0.0,7.0,1
A13985406,중계현대6차,아파트,서울특별시 노원구 중계로8길 20,서울,노원구,중계동,현대6차아파트,분양,453,(주)현대건설,36711.0,522.0,127.0824304,37.6455756,0.0,0.0,5.0,3.0,3.0,0.0,2.0,4.0,10.0,19.0,2.0,0.0,1.0,2
A13615002,석관코오롱,아파트,서울특별시 성북구 한천로 509,서울,성북구,석관동,,분양,453,코오롱건설,37254.0,461.0,127.0657663,37.6063529,2.0,0.0,2.0,6.0,10.0,1.0,3.0,4.0,18.0,18.0,2.0,4.0,1.0,2
A15205104,구로한일유엔아이,아파트,서울특별시 구로구 가마산로 87,서울,구로구,구로동,,분양,454,한일건설,39355.0,535.0,126.8756078,37.4863381,3.0,0.0,11.0,4.0,1.0,0.0,2.0,4.0,7.0,4.0,5.0,1.0,1.0,2
A15704025,염창강변한솔솔파크,아파트,서울특별시 강서구 양천로63길 38,서울,강서구,염창동,300번지,분양,455,한솔건설,38635.0,530.0,126.8671836,37.5562105,3.0,0.0,8.0,4.0,9.0,5.0,4.0,3.0,23.0,43.0,6.0,0.0,1.0,2
A13821003,송파파인타운5단지,아파트,서울특별시 송파구 충민로4길 5,서울,송파구,장지동,서울시 송파구 장지동 845 송파 파인타운 5단지 관리사무소,,455,(주)진흥기업,30770.0,494.0,127.1299462,37.4801394,2.0,1.0,6.0,1.0,12.0,3.0,3.0,5.0,35.0,43.0,2.0,1.0,2.0,2
A13010003,장안현대,아파트,서울특별시 동대문구 한천로 224,서울,동대문구,장안동,,분양,456,현대건설,43511.0,350.0,127.0688912,37.5812961,1.0,0.0,6.0,3.0,10.0,3.0,4.0,6.0,21.0,32.0,1.0,2.0,2.0,6
A12106001,토정한강삼성,아파트,서울특별시 마포구 토정로32길 11,서울,마포구,토정동,한강삼성아파트,분양,456,삼성물산(주)건설부분,32767.0,407.0,126.9413292,37.5394266,3.0,1.0,5.0,6.0,8.0,2.0,3.0,3.0,11.0,27.0,9.0,2.0,6.0,0
A13204002,창동신도브래뉴,아파트,서울특별시 도봉구 도봉로136나길 40,서울,도봉구,창동,창동신도브래뉴1차아파트,분양,456,신도,42889.0,611.0,127.0444705,37.6563222,2.0,2.0,0.0,6.0,17.0,5.0,4.0,7.0,28.0,52.0,5.0,1.0,2.0,1
A15703302,등촌동성,아파트,서울특별시 강서구 강서로68길 108,서울,강서구,등촌동,02-3663-2087,분양,457,동성개발,55641.0,796.0,126.8459121,37.5640797,2.0,0.0,5.0,3.0,18.0,4.0,6.0,7.0,24.0,45.0,6.0,2.0,6.0,6
A13985105,월계청백3단지,아파트,서울특별시 노원구 월계로45가길 89,서울,노원구,월계동,월계청백3단지아파트,분양,458,태영,23201.0,275.0,127.0502719,37.6318379,1.0,0.0,10.0,6.0,3.0,5.0,2.0,5.0,15.0,9.0,0.0,0.0,0.0,2
A13302204,하왕금호베스트빌,아파트,서울특별시 성동구 난계로 114-31,서울,성동구,하왕십리동,,분양,458,금호건설,39538.0,523.0,127.0254969,37.5612955,5.0,1.0,11.0,14.0,5.0,4.0,5.0,7.0,25.0,18.0,6.0,2.0,5.0,1
A12185304,신공덕2차삼성래미안,아파트,서울특별시 마포구 만리재로 74,서울,마포구,신공덕동,159,분양,458,삼성건설,37385.0,526.0,126.9579942,37.5464428,2.0,0.0,9.0,7.0,6.0,3.0,4.0,6.0,20.0,23.0,14.0,5.0,2.0,1
A13527013,개포4차우성,아파트,서울특별시 강남구 언주로 117,서울,강남구,도곡동,465,분양,459,(주)우성건설,59577.0,0.0,127.0501105,37.4857034,2.0,1.0,2.0,4.0,11.0,1.0,2.0,1.0,0.0,16.0,15.0,0.0,2.0,3
A13406205,신성둔촌미소지움1차,아파트,서울특별시 강동구 명일로 102,서울,강동구,둔촌동,신성둔촌미소지움아파트 1차,분양,460,주식회사 신성,35078.0,481.0,127.1428107,37.5278063,1.0,1.0,10.0,4.0,10.0,3.0,4.0,2.0,18.0,22.0,4.0,0.0,1.0,2
A13606101,돈암풍림,아파트,서울특별시 성북구 북악산로 913,서울,성북구,돈암동,,분양,460,풍림건설(주),40804.0,571.0,127.023656,37.5953816,1.0,0.0,5.0,8.0,6.0,2.0,3.0,4.0,6.0,18.0,3.0,6.0,0.0,2
A15080002,당산진로,아파트,서울특별시 영등포구 당산로 68,서울,영등포구,당산동1가,16-1,분양,461,진로건설,40349.0,551.0,126.8963598,37.5206537,6.0,2.0,8.0,4.0,14.0,2.0,3.0,4.0,20.0,31.0,12.0,10.0,4.0,0
A10045001,신당푸르지오,아파트,서울특별시 중구 다산로36길 110,서울,중구,신당동,신당푸르지오아파트,분양,461,대우건설(주),44882.0,649.0,127.0195121,37.5592169,6.0,0.0,4.0,12.0,8.0,5.0,6.0,6.0,19.0,12.0,8.0,2.0,1.0,1
A15785608,방화동 개화아파트,아파트,서울특별시 강서구 금낭화로 167,서울,강서구,방화동,819번지,분양,462,"신일건업(주),공영토건(주)",52648.0,634.0,126.8125423,37.5809671,3.0,1.0,2.0,2.0,6.0,3.0,3.0,5.0,10.0,4.0,1.0,1.0,0.0,2
A13085301,전농삼성,아파트,서울특별시 동대문구 전농로 192,서울,동대문구,전농동,서울 동대문구 전농2동 155번지 전농삼성아파트관리사무소,분양,463,(주)삼성물산,37927.0,0.0,127.0556161,37.5819426,0.0,0.0,3.0,6.0,7.0,4.0,3.0,6.0,8.0,7.0,3.0,3.0,0.0,2
A14386110,자양우성3차,아파트,서울특별시 광진구 뚝섬로35길 32,서울,광진구,자양동,516,분양,464,우성,34453.0,3.0,127.0720703,37.5359897,3.0,0.0,2.0,3.0,11.0,2.0,4.0,8.0,21.0,62.0,8.0,6.0,2.0,6
A12287203,수색대림한숲타운제2,아파트,서울특별시 은평구 은평터널로 66,서울,은평구,수색동,415-4,임대,464,대림건설,15210.0,0.0,126.9013422,37.5863961,2.0,0.0,2.0,5.0,2.0,4.0,2.0,4.0,6.0,4.0,2.0,0.0,0.0,2
A13983709,상계현대2차,아파트,서울특별시 노원구 동일로231길 86,서울,노원구,상계동,현대2차아파트,분양,465,현대산업개발(주),38082.0,206.0,127.0504092,37.6722699,2.0,0.0,4.0,7.0,7.0,1.0,3.0,7.0,35.0,26.0,5.0,2.0,3.0,6
A12186901,코오롱하늘채,아파트,서울특별시 마포구 연남로 52,서울,마포구,연남동,573,분양,466,코오롱건설,41207.0,545.0,126.9201576,37.5648197,2.0,0.0,8.0,2.0,2.0,2.0,1.0,4.0,12.0,8.0,4.0,5.0,5.0,3
