Unnamed: 0,apt_code,name,type,road_addr,local1,local2,local3,local4,gene_type,apt_gene,apt_const,apt_area,apt_parking,x,y,car_road,train_n,bus_n,admin,medical,culture,eschool_n,kinder_n,d_center_n,edu_n,bank,mart,convin,cluster
1951,A13508011,래미안그레이튼,아파트,서울특별시 강남구 도곡로43길 21,서울,강남구,역삼동,762-3,,464,삼성건설,42335.0,626.0,127.0472661,37.4951609,1.0,1.0,47.0,2.0,51.0,1.0,3.0,4.0,20.0,337.0,15.0,2.0,47.0,2
432,A13790708,잠원녹원한신,아파트,서울특별시 서초구 잠원로4길 34-11,서울,서초구,잠원동,60-7 녹원한신아파트 관리사무소,분양,240,한신공영,20347.0,246.0,127.0113336,37.5120919,0.0,2.0,32.0,5.0,24.0,0.0,3.0,3.0,39.0,86.0,10.0,4.0,38.0,3
1320,A13788206,서초아크로비스타,주상복합,서울특별시 서초구 서초중앙로 188,서울,서초구,서초동,1685-3,분양,757,대림건설(주),124600.0,0.0,127.0133305,37.4981987,2.0,3.0,56.0,2.0,33.0,0.0,2.0,3.0,29.0,260.0,24.0,0.0,27.0,2
182,A13786601,서초자이,아파트,서울특별시 서초구 효령로68길 81,서울,서초구,서초동,,분양,184,GS건설,24307.0,386.0,127.0202181,37.4848719,1.0,1.0,62.0,4.0,25.0,0.0,1.0,0.0,19.0,52.0,14.0,0.0,31.0,2
647,A13788003,서초삼성래미안,아파트,서울특별시 서초구 사임당로17길 116,서울,서초구,서초동,1641-1,분양,299,삼성물산,32190.0,476.0,127.0199579,37.4934608,1.0,2.0,74.0,2.0,51.0,0.0,2.0,3.0,30.0,134.0,27.0,0.0,66.0,2
2442,A10026051,반포래미안아이파크,아파트,서울특별시 서초구 서초중앙로 220,서울,서초구,반포동,반포래미안아이파크 아파트 관리사무소,,829,"삼성물산, 현대산업개발",80426.0,0.0,127.0125604,37.50092246,1.0,4.0,51.0,2.0,27.0,0.0,3.0,4.0,29.0,245.0,15.0,1.0,26.0,2
317,A13528001,대치대우아이빌4차,주상복합,서울특별시 강남구 선릉로90길 56,서울,강남구,대치동,,분양,210,대우건설,7304.0,210.0,127.0538874,37.5051358,1.0,2.0,44.0,1.0,56.0,0.0,2.0,1.0,28.0,610.0,33.0,1.0,88.0,2
2058,A13527019,도곡쌍용예가,아파트,서울특별시 강남구 남부순환로363길 30,서울,강남구,도곡동,도곡쌍용예가,분양,384,쌍용건설(주),42932.0,414.0,127.0390313,37.4870576,1.0,3.0,60.0,3.0,43.0,1.0,1.0,2.0,18.0,87.0,22.0,0.0,46.0,2
91,A13707002,아남,아파트,서울특별시 서초구 사임당로23길 53,서울,서초구,서초동,1641-13,분양,166,아남건설주식회사,13209.0,0.0,127.020739,37.4929518,1.0,3.0,86.0,2.0,57.0,0.0,2.0,3.0,29.0,138.0,27.0,0.0,68.0,2
459,A13527006,역삼삼익,아파트,서울특별시 강남구 논현로 218,서울,강남구,도곡동,869 삼익아파트 관리사무소,분양,247,삼익주택,30859.0,285.0,127.0421463,37.4907653,1.0,1.0,44.0,3.0,31.0,1.0,1.0,5.0,20.0,81.0,9.0,0.0,41.0,1
1916,A13579505,래미안그레이튼3차,아파트,서울특별시 강남구 도곡로43길 20,서울,강남구,역삼동,763-16,,476,삼성물산,39855.0,582.0,127.0481579,37.4964808,1.0,1.0,45.0,2.0,58.0,1.0,3.0,3.0,23.0,434.0,13.0,2.0,54.0,2
2119,A13572601,동화히스토리,주상복합,서울특별시 강남구 학동로4길 15,서울,강남구,논현동,122-8(학동로4길 15),임대,236,한신공영개발(주),6739.0,0.0,127.0235418,37.5105348,1.0,6.0,37.0,2.0,84.0,0.0,1.0,1.0,17.0,93.0,25.0,1.0,98.0,2
1700,A13770105,반포미도2차,아파트,서울특별시 서초구 사평대로 240,서울,서초구,반포동,(반포동),분양,435,한보건설,30353.0,320.0,127.0075124,37.5023578,2.0,5.0,56.0,2.0,34.0,0.0,2.0,3.0,30.0,298.0,21.0,3.0,11.0,2
1474,A13592706,역삼래미안,아파트,서울특별시 강남구 선릉로69길 19,서울,강남구,역삼동,역삼래미안아파트,분양,1050,삼성물산,69466.0,1053.0,127.050065,37.4975233,1.0,2.0,39.0,4.0,57.0,0.0,3.0,4.0,29.0,613.0,15.0,2.0,71.0,2
234,A13586101,도곡대림,아파트,,서울,강남구,도곡동,960번지,분양,197,대림건설,16733.0,126.0,127.040409,37.4866347,0.0,3.0,64.0,3.0,44.0,1.0,1.0,2.0,15.0,80.0,19.0,0.0,41.0,2
111,A13508003,대우디오빌플러스,아파트,서울특별시 강남구 강남대로84길 33,서울,강남구,역삼동,824-25,분양,168,대우건설,6701.0,0.0,127.0311179,37.4975858,1.0,3.0,72.0,2.0,101.0,0.0,2.0,2.0,20.0,152.0,45.0,0.0,122.0,2
880,A13780403,반포한신서래,아파트,서울특별시 서초구 사평대로28길 31,서울,서초구,반포동,70-1.,분양,414,(주)한신공영,39184.0,297.0,127.0008946,37.4991043,2.0,3.0,52.0,2.0,15.0,0.0,2.0,0.0,15.0,88.0,14.0,0.0,19.0,1
621,A13501002,마일스디오빌,주상복합,서울특별시 강남구 학동로 165,서울,강남구,논현동,58-2,분양,260,대우건설,9435.0,200.0,127.0289105,37.5138873,1.0,3.0,34.0,1.0,64.0,0.0,1.0,2.0,13.0,75.0,21.0,2.0,70.0,2
1875,A15776414,등촌주공4단지,아파트,서울특별시 강서구 공항대로39길 59,서울,강서구,등촌동,690,임대,1575,lh,43745.0,322.0,126.8430032,37.5621004,0.0,2.0,81.0,1.0,47.0,0.0,4.0,6.0,50.0,86.0,8.0,1.0,45.0,3
199,A12125001,성산2차e-편한세상,아파트,서울특별시 마포구 월드컵북로 216,서울,마포구,성산동,604번지,분양,189,대림산업,15099.0,209.0,126.9053595,37.5697756,0.0,3.0,55.0,4.0,23.0,0.0,3.0,4.0,50.0,61.0,5.0,2.0,36.0,3
1574,A15681503,사당극동,아파트,서울특별시 동작구 동작대로29길 119,서울,동작구,사당동,105,분양,1550,극동건설,137745.0,1160.0,126.9764363,37.4886826,0.0,3.0,71.0,4.0,46.0,1.0,4.0,2.0,52.0,106.0,7.0,1.0,46.0,0
1393,A13186305,신내엘지쌍용,아파트,서울특별시 중랑구 봉화산로 146,서울,중랑구,상봉동,484,분양,858,"LG건설(주), 쌍용건설(주)",60433.0,825.0,126.9764363,37.4886826,0.0,3.0,71.0,4.0,46.0,1.0,4.0,2.0,52.0,106.0,7.0,1.0,46.0,0
1483,A15681502,사당우성2단지,아파트,서울특별시 동작구 동작대로29길 91,서울,동작구,사당동,105번지,분양,1080,우성건설,91615.0,0.0,126.9764363,37.4886826,0.0,3.0,71.0,4.0,46.0,1.0,4.0,2.0,52.0,106.0,7.0,1.0,46.0,0
1392,A15681501,사당4-3우성,아파트,서울특별시 동작구 동작대로29길 115,서울,동작구,사당동,사당우성3단지아파트 관리사무소,분양,855,우성건설(주),69743.0,896.0,126.9764363,37.4886826,0.0,3.0,71.0,4.0,46.0,1.0,4.0,2.0,52.0,106.0,7.0,1.0,46.0,0
