전철역코드,전철역명,호선,외부코드,name,road_addr,x,y
3130,원인재,인천선,I130,원인재역 인천1호선,인천 연수구 경원대로 지하 285,126.687889114089,37.4123688782408
3131,동춘,인천선,I131,동춘역 인천1호선,인천 연수구 경원대로 지하 180,126.680851046438,37.404576119239
3132,동막,인천선,I132,동막역 인천1호선,인천 연수구 경원대로 지하 80,126.673448014592,37.3979424375979
3133,캠퍼스타운,인천선,I133,캠퍼스타운역 인천1호선,인천 연수구 송도국제대로 지하 66,126.662206121031,37.38844295632
3134,테크노파크,인천선,I134,테크노파크역 인천1호선,인천 연수구 송도국제대로 지하 150,126.656299104753,37.3822809834253
3135,지식정보단지,인천선,I135,지식정보단지역 인천1호선,인천 연수구 인천타워대로 지하 57,126.645861381029,37.37750721892
3137,센트럴파크,인천선,I137,센트럴파크역 인천1호선,인천 연수구 인천타워대로 지하 240,126.634988814949,37.3928455432657
3138,국제업무지구,인천선,I138,국제업무지구역 인천1호선,인천 연수구 인천타워대로 지하 334,126.630542158102,37.3996578386606
3139,송도달빛축제공원,인천선,I139,송도달빛축제공원역 인천1호선,인천 연수구 인천타워대로 지하 424,126.62601790846256,37.406920219431996
3201,검단오류,인천2호선,I201,검단오류역 인천2호선,인천 서구 검단로 187,126.627907494962,37.5949434686845
3203,검단사거리,인천2호선,I203,검단사거리역 인천2호선,인천 서구 검단로 473,126.65643839271,37.6016612295398
3204,마전,인천2호선,I204,마전역 인천2호선,인천 서구 완정로 68,126.667223457118,37.5976340869751
3205,완정,인천2호선,I205,완정역 인천2호선,인천 서구 원당대로 650,126.673033100577,37.5928390497566
3206,독정,인천2호선,I206,독정역 인천2호선,인천 서구 서곶로 760,126.67600264877679,37.58484825991949
3207,검암,인천2호선,I207,검암역 인천2호선,인천 서구 검바위로 4,126.67567426472,37.5686781799536
3208,검바위,인천2호선,I208,검바위역 인천2호선,인천 서구 서곶로 492,126.677531491203,37.5611257424349
3209,아시아드경기장,인천2호선,I209,아시아드경기장역 인천2호선,인천 서구 서곶로 382,126.677107520162,37.5513145630525
3210,서구청,인천2호선,I210,서구청역 인천2호선,인천 서구 서곶로 294,126.676844673062,37.5440446154284
3211,가정,인천2호선,I211,가정역 인천2호선,인천 서구 봉오대로 234,126.675357432309,37.5248168619511
3212,가정중앙시장,인천2호선,I212,가정중앙시장역 인천2호선,인천 서구 가남로 400,126.676823324228,37.5175263931377
3213,석남,인천2호선,I213,석남역 인천2호선,인천 서구 길주로 지하 120,126.676149271119,37.5062431189861
3214,서부여성회관,인천2호선,I214,서부여성회관역 인천2호선,인천 서구 가석로 169,126.675870541598,37.5003434953542
3215,인천가좌,인천2호선,I215,인천가좌역 인천2호선,인천 서구 가석로 67,126.675242029489,37.4898360731372
3216,가재울,인천2호선,I216,가재울역 인천2호선,인천 서구 열우물로 252,126.683769149033,37.4841504406643
3217,주안국가산단,인천2호선,I217,주안국가산단역 인천2호선,인천 서구 방축로 343,126.68122005538342,37.47391267095278
3218,주안,인천2호선,I218,주안역 인천2호선,인천 미추홀구 주안로 지하 91-1,126.679015725246,37.4651552217129
3219,시민공원,인천2호선,I219,시민공원역 인천2호선,인천 미추홀구 경인로 지하 371,126.681074618963,37.4583852139167
3220,석바위시장,인천2호선,I220,석바위시장역 인천2호선,인천 미추홀구 구월로 지하 19,126.692353074376,37.4576690774014
3221,인천시청,인천2호선,I221,인천시청역 인천2호선,인천 미추홀구 구월로 지하 19,126.692353074376,37.4576690774014
3223,모래내시장,인천2호선,I223,모래내시장역 인천2호선,인천 남동구 구월로 지하 255,126.719621557604,37.4558628174958
