Unnamed: 0,apt_code,name,type,road_addr,local1,local2,local3,local4,gene_type,apt_gene,apt_const,apt_area,apt_parking,x,y,car_road,train_n,bus_n,admin,medical,culture,eschool_n,kinder_n,d_center_n,edu_n,bank,mart,convin,cluster
2135,B13077001,전농삼성임대,,,서울,동대문구,전농동,서울 동대문구 전농동155-1,,139,,,66.0,127.0556151,37.5812702,0.0,3.0,37.0,4.0,28.0,1.0,4.0,6.0,27.0,52.0,3.0,2.0,34.0,3
1354,A15681108,대방주공2단지,아파트,서울특별시 동작구 여의대방로44길 47,서울,동작구,대방동,503,분양,798,유원건설,45293.0,420.0,126.929455,37.5095402,0.0,3.0,68.0,5.0,18.0,1.0,2.0,1.0,36.0,42.0,3.0,2.0,26.0,3
645,A13290404,창동금호어울림,아파트,서울특별시 도봉구 도봉로136가길 68,서울,도봉구,창동,,분양,299,금호건설(주),28981.0,413.0,127.0417515,37.6564796,0.0,2.0,77.0,2.0,30.0,0.0,5.0,11.0,67.0,112.0,4.0,1.0,36.0,3
2480,A10025632,송파해모로아파트,,서울특별시 송파구 풍성로26길 47,서울,송파구,풍납동,,분양,114,(주)한진중공업,10782.0,156.0,127.117008,37.52965343,0.0,1.0,43.0,4.0,40.0,0.0,4.0,4.0,46.0,43.0,7.0,0.0,28.0,3
2029,A13972603,중계4단지목화,아파트,서울특별시 노원구 노원로19길 31,서울,노원구,중계동,511-2,임대,1979,"벽산건설,남광토건",83103.0,857.0,127.0696523,37.6435986,0.0,1.0,75.0,3.0,19.0,0.0,4.0,6.0,56.0,69.0,3.0,4.0,21.0,3
2679,A10023959,홍제역 해링턴플레이스아파트,아파트,서울특별시 서대문구 세무서8길 30,서울,서대문구,홍제동,,,1116,효성중공업(주),80061.0,1289.0,126.947405,37.590313,0.0,1.0,91.0,3.0,40.0,0.0,3.0,8.0,46.0,61.0,4.0,0.0,24.0,3
516,A13580002,개포우성8차,아파트,서울특별시 강남구 개포로 411,서울,강남구,개포동,우성8차아파트,분양,261,우성건설,20760.0,138.0,127.062288,37.48811,0.0,5.0,47.0,2.0,24.0,0.0,6.0,4.0,24.0,167.0,8.0,1.0,15.0,3
775,A13706303,방배대우효령,아파트,서울특별시 서초구 효령로 84,서울,서초구,방배동,1038,분양,364,대우종합건설,30908.0,274.0,126.9936334,37.4797613,0.0,1.0,79.0,5.0,21.0,0.0,2.0,3.0,24.0,66.0,5.0,0.0,22.0,3
581,A12187703,성산2차현대,아파트,서울특별시 마포구 성암로7길 3,서울,마포구,중동,40-12,분양,282,현대,24789.0,0.0,126.9083577,37.5705091,0.0,1.0,57.0,4.0,29.0,0.0,4.0,4.0,58.0,76.0,6.0,2.0,33.0,3
90,A13882401,문정푸르지오2차,아파트,서울특별시 송파구 송이로32길 37,서울,송파구,문정동,관리사무소,분양,165,(주)대우,12653.0,188.0,127.1270852,37.4867371,0.0,1.0,58.0,2.0,28.0,1.0,4.0,7.0,62.0,77.0,9.0,2.0,31.0,3
2694,A10023858,용산데시앙포레아파트,아파트,서울특별시 용산구 효창원로 227,서울,용산구,효창동,,,384,태영건설,32297.0,465.0,126.962886,37.548159,0.0,0.0,56.0,5.0,24.0,1.0,3.0,4.0,37.0,42.0,5.0,2.0,40.0,3
2239,A13203002,북한산코오롱하늘채,아파트,서울특별시 도봉구 우이천로 367,서울,도봉구,쌍문동,북한산코오롱하늘채아파트,,293,코오롱글로벌(주),21997.0,321.0,127.0240314,37.64788523,0.0,0.0,62.0,4.0,24.0,1.0,2.0,8.0,43.0,38.0,0.0,3.0,43.0,3
548,A15284305,구로새솔금호,아파트,서울특별시 구로구 공원로 35,서울,구로구,구로동,108-2,분양,272,금호건설,19641.0,224.0,126.8900268,37.4999584,0.0,1.0,81.0,2.0,30.0,0.0,5.0,2.0,48.0,50.0,8.0,0.0,44.0,3
1510,A13923108,하계청솔,아파트,서울특별시 노원구 공릉로59길 25,서울,노원구,하계동,,분양,1192,한일개발,58074.0,477.0,127.0712601,37.6323401,1.0,2.0,88.0,3.0,29.0,1.0,4.0,10.0,61.0,45.0,6.0,0.0,30.0,3
2360,A10027157,서울가좌행복주택 ,아파트,서울특별시 마포구 성암로 28,서울,마포구,성산동,,임대,362,진흥개발(주),7020.0,0.0,126.9132522,37.56915017,0.0,1.0,61.0,4.0,29.0,0.0,4.0,4.0,51.0,88.0,6.0,2.0,31.0,3
1390,A13308005,응봉대림1차,아파트,서울특별시 성동구 독서당로62길 43,서울,성동구,응봉동,,분양,855,대림,81623.0,523.0,127.0332766,37.5519496,0.0,2.0,108.0,4.0,13.0,0.0,3.0,4.0,57.0,83.0,3.0,0.0,18.0,3
1360,A13480403,고덕아남,아파트,서울특별시 강동구 양재대로 1706,서울,강동구,고덕동,관리사무소,분양,807,아남건설,64112.0,700.0,127.1467882,37.5579377,0.0,2.0,40.0,4.0,16.0,0.0,4.0,6.0,32.0,106.0,3.0,4.0,14.0,3
1760,A14278101,수유극동아파트,아파트,서울특별시 강북구 인수봉로72길 4,서울,강북구,수유동,553-61,분양,574,동익건설,52772.0,319.0,127.0121448,37.6419306,0.0,1.0,77.0,5.0,21.0,0.0,2.0,6.0,37.0,38.0,0.0,1.0,44.0,3
1128,A13524006,개포2차 현대아파트,아파트,서울특별시 강남구 언주로 107,서울,강남구,개포동,개포2차현대아파트,분양,558,현대산업개발(주),75527.0,500.0,127.0512551,37.4824869,0.0,1.0,60.0,4.0,24.0,0.0,4.0,4.0,29.0,54.0,17.0,0.0,17.0,3
1421,A13881005,가락래미안파크팰리스,아파트,서울특별시 송파구 동남로 225,서울,송파구,가락동,165,분양,919,삼성물산,78446.0,1209.0,127.1321113,37.4981982,0.0,4.0,51.0,3.0,24.0,2.0,3.0,5.0,48.0,87.0,7.0,0.0,25.0,3
163,A12187901,중동계룡,아파트,서울특별시 마포구 월드컵북로38가길 20,서울,마포구,중동,391,분양,180,계룡건설,15003.0,206.0,126.905875,37.5706353,0.0,2.0,55.0,3.0,22.0,0.0,4.0,5.0,52.0,63.0,5.0,0.0,33.0,3
2191,A13922003,중계한화꿈에그린더퍼스트,아파트,서울특별시 노원구 덕릉로83길 9-7,서울,노원구,중계동,606,,283,한화건설(주),26528.0,405.0,127.0742258,37.6592065,0.0,1.0,51.0,5.0,29.0,0.0,4.0,8.0,58.0,71.0,4.0,0.0,30.0,3
206,A13123001,예성그린캐슬아파트,아파트,서울특별시 중랑구 용마산로112가길 34,서울,중랑구,망우동,577,분양,191,예성종합건설,14280.0,193.0,127.1020462,37.597046,0.0,0.0,54.0,4.0,39.0,0.0,3.0,4.0,35.0,36.0,4.0,1.0,28.0,3
1463,A13811206,거여1단지,아파트,서울특별시 송파구 양산로8길 8,서울,송파구,거여동,관리사무소,분양,1004,미주실업주식회사,48410.0,577.0,127.1445317,37.4909438,0.0,1.0,36.0,5.0,27.0,1.0,3.0,7.0,67.0,51.0,3.0,0.0,29.0,3
1746,A13672101,삼선푸르지오아파트,아파트,서울특별시 성북구 보문로29다길 31,서울,성북구,삼선동2가,425번지,분양,864,대우건설(주),74715.0,1126.0,127.0133812,37.5834945,0.0,2.0,58.0,5.0,19.0,1.0,3.0,7.0,36.0,41.0,6.0,2.0,34.0,3
1936,A13613009,꿈의숲푸르지오,아파트,서울특별시 성북구 오패산로16가길 40,서울,성북구,하월곡동,228번지,분양,714,(주)대우건설,49702.0,736.0,127.0390029,37.6107743,0.0,0.0,106.0,4.0,21.0,0.0,3.0,8.0,65.0,62.0,4.0,1.0,33.0,3
2552,A10024827,쌍문e-편한세상아파트,아파트,서울특별시 도봉구 노해로41가길 16,서울,도봉구,쌍문동,,분양,141,,12288.0,168.0,127.027137,37.649907,1.0,1.0,65.0,4.0,28.0,1.0,4.0,6.0,32.0,48.0,3.0,1.0,34.0,3
447,A14381504,광장동금호베스트빌,아파트,서울특별시 광진구 광나루로 579,서울,광진구,광장동,광장동금호베스트빌,분양,242,(주)금호건설,18650.0,250.0,127.0940234,37.5437571,0.0,0.0,55.0,4.0,25.0,0.0,4.0,7.0,60.0,174.0,5.0,1.0,25.0,3
