name,y,x
대원유치원,37.53457688,127.075652
서울자곡초등학교병설유치원,37.47204936,127.0994826
굿프랜드유치원,37.4971007,126.9117177
등촌이화유치원,37.55973884,126.8479542
하나유치원,37.64806958,126.9298268
강일늘사랑유치원,37.56314523,127.1783224
광장유치원,37.54854089,127.1052329
서울양남초등학교병설유치원,37.53112324,127.0892343
서울공릉초등학교병설유치원,37.61861443,127.0746314
유안유치원,37.64527396,127.0104854
옥수삼성유치원,37.54262944,127.0155544
광운유치원,37.60971943,127.0476703
서울은명초등학교병설유치원,37.59767912,126.9182757
아란유치원,37.5342244,126.874169
아이디유치원,37.65916949,127.0571713
서울우면초등학교병설유치원,37.46471047,127.0237693
서울대왕초등학교병설유치원,37.46462117,127.1055912
서울창신초등학교병설유치원,37.57621147,127.0142937
하늘빛유치원,37.49362958,127.0897076
돌샘유치원,37.48914068,127.0708715
럭키유치원,37.49154881,127.0409542
리라유치원,37.48553054,127.0847979
묘동유치원,37.49740721,127.0587662
동산유치원,37.47690005,126.9009599
은혜유치원,37.61775859,126.9273984
서울구로남초등학교병설유치원,37.48420602,126.8902182
서울양화초등학교병설유치원,37.5436693,126.873986
서울월정초등학교병설유치원,37.53499419,126.8362936
서울우암초등학교병설유치원,37.47229555,127.0237234
서울남성초등학교병설유치원,37.48459498,126.9754874
티움유치원,37.50110477,127.1152671
꿈밭유치원,37.65830373,127.0276046
서울도신초등학교병설유치원,37.49926789,126.9007141
태영유치원,37.54386754,126.9423896
효림유치원,37.58689948,126.8991669
미래유치원,37.57102749,126.8063998
서울내발산초등학교병설유치원,37.55088255,126.8381642
색동유치원,37.59167861,127.0784011
신동아유치원,37.57310266,127.0315846
아이비유치원,37.58281932,127.0687394
학림유치원,37.65780697,127.0646076
은평국제유치원,37.59896254,126.9114672
서울장월초등학교병설유치원,37.62192922,127.0473205
상아유치원,37.50093622,127.0952079
동성유치원,37.60979996,127.0962946
사랑유치원,37.58802816,127.0492262
신촌유치원,37.55738379,126.9314516
예일유치원,37.6109459,126.9147928
현정유치원,37.54446681,127.0889497
도원유치원,37.53870666,126.9578633
리라유치원,37.5578197,126.9879807
예원유치원,37.62348114,127.017713
까망유치원,37.61491463,127.048531
튼튼유치원,37.52603577,126.8571551
청은유치원,37.52252239,126.8856956
혜원유치원,37.49940021,126.8422805
서울신상계초등학교병설유치원,37.66751782,127.0758263
서울창동초등학교병설유치원,37.65536304,127.0448329
양지유치원,37.65526085,127.0697304
서울금화초등학교병설유치원,37.56882755,126.9629414
선미유치원,37.5562309,127.0730221
선화유치원,37.54981386,127.0867934
청구이화유치원,37.5431621,127.0956083
초원유치원,37.47598073,127.0485974
무지개유치원,37.66459288,127.0787138
봄샘유치원,37.57345439,127.0065578
동아유치원,37.50824932,126.9433353
상도유치원,37.50157769,126.9519736
삼풍유치원,37.6567942,127.0456658
해뜨는유치원,37.6048642,127.0157212
반포자이유치원,37.50786022,127.011582
서울신은초등학교병설유치원,37.51391281,126.8321696
세성유치원,37.55386173,127.0340559
예크유치원,37.53784957,127.1427154
성보유치원,37.53964107,126.8678476
어린이의정원유치원,37.50673104,126.8647966
돈보스꼬유치원,37.51054733,126.9013865
동부유치원,37.49996525,126.8413534
젬마유치원,37.5929409,127.0594204
여의도유치원,37.52156705,126.9389853
예림유치원,37.45221259,126.9182453
예쁨유치원,37.49522603,126.8174413
열림유치원,37.50896395,126.9292197
동은유치원,37.6429788,127.0632303
두솔유치원,37.62954998,127.0541697
새봄유치원,37.68083846,127.0542199
자연유치원,37.66088212,127.0475233
천사유치원,37.65913605,127.0335571
백합유치원,37.60819727,126.9173596
보림유치원,37.61355516,126.9135517
새현대유치원,37.53990647,126.9557465
성체유치원,37.64230282,127.020989
서울동신초등학교병설유치원,37.58328787,127.017058
아란유치원,37.53153417,127.0292731
서울잠일초등학교병설유치원,37.51474166,127.0816362
광영유치원,37.5371981,126.8232759
대붕유치원,37.5618458,126.8568007
서울남정초등학교병설유치원,37.53567383,126.9648037
신동아큰나무유치원,37.51910028,126.9897372
약수유치원,37.5551916,127.0163594
서울솔가람유치원,37.4780197,127.1409443
해맑은유치원,37.57740414,126.9056651
푸른나라유치원,37.52875655,126.8971077
서울용답초등학교병설유치원,37.56072712,127.0537608
서울구일초등학교병설유치원,37.49319187,126.8734727
은새유치원,37.55236795,127.1526214
서울율현초등학교병설유치원,37.4745587,127.108265
이루니유치원,37.60162998,127.0917605
동심유치원,37.55171279,127.0726727
하나유치원,37.61763836,127.0105997
화계유치원,37.63464706,127.0188555
경은유치원,37.64407852,127.0222654
나래유치원,37.60953849,127.0226506
새삼선유치원,37.59015624,127.0058135
반디유치원,37.59447253,127.012706
유정유치원,37.52594782,127.1337752
꿈나라유치원,37.46058867,126.9206174
서울송원초등학교병설유치원,37.55415927,127.0695262
서울수색초등학교병설유치원,37.58517215,126.8960121
돌샘유치원,37.55516675,127.1438388
아이조아유치원,37.56619909,127.0804713
영생유치원,37.5050048,126.9956774
율화유치원,37.55365532,127.0384246
은비유치원,37.48909177,126.9601116
한가람유치원,37.61630268,127.010291
서울화계초등학교병설유치원,37.62388498,127.0297162
서울성수초등학교병설유치원,37.54433788,127.0628861
서울강신초등학교병설유치원,37.54209971,126.8295837
서울연신초등학교병설유치원,37.62605996,126.9277513
서울하늘숲유치원,37.48509897,126.8430152
동화유치원,37.49594752,127.0189851
서울봉천초등학교병설유치원,37.4832696,126.9581884
성요셉유치원,37.52135273,126.9373261
경원유치원,37.55489199,127.0960864
세종유치원,37.60493619,127.07916
소화유치원,37.58306693,127.0347771
수산유치원,37.59762623,127.0759257
한가람유치원,37.53646636,127.1156991
불광유치원,37.50691501,127.1021219
아이파크예원유치원,37.54826258,126.8409806
리아유치원,37.5166909,127.1377123
사랑유치원,37.66542845,127.0466707
엔젤유치원,37.60422379,126.9188777
서울길음유치원,37.61363115,127.01666
서울삼선초등학교병설유치원,37.58714152,127.0126718
서울성북초등학교병설유치원,37.59405389,126.9987754
서울숭곡초등학교병설유치원,37.60843284,127.0328151
계성유치원,37.53586046,126.9527815
대건유치원,37.52071451,126.9778558
에덴유치원,37.55820535,127.027507
그림유치원,37.57006932,127.0598603
성북유치원,37.62217612,127.0590605
성실유치원,37.63894562,127.0707101
예진유치원,37.62805406,127.0685738
서문유치원,37.59162952,126.9167514
서울은평초등학교병설유치원,37.60230404,126.9340336
서울창천초등학교병설유치원,37.55491782,126.9392951
서울홍제초등학교병설유치원,37.59348091,126.9453365
성결유치원,37.54635578,126.9373329
인애유치원,37.53384378,127.0683425
서울거여초등학교병설유치원,37.50501352,127.1409329
벧엘유치원,37.5572008,127.0301759
다연유치원,37.63176137,127.0523386
동그라미유치원,37.55011396,126.8491643
레인보우유치원,37.5455294,126.8780958
메이플유치원,37.49109691,126.9118137
서울신남성초등학교병설유치원,37.48815254,126.96487
서울신우유치원,37.46326397,126.9325353
서울논현초등학교병설유치원,37.50848958,127.0262229
서울하늘초등학교병설유치원,37.5858088,126.8808619
서울청파초등학교병설유치원,37.5473049,126.9635439
무학유치원,37.56146024,127.0306181
가람유치원,37.54826059,127.153784
세화유치원,37.514999,126.8712369
양서유치원,37.5194093,126.8410394
대림유치원,37.4962984,126.9069637
동정성모유치원,37.49046191,126.8285336
바니유치원,37.49326723,126.8778699
홍릉유치원,37.5904912,127.0414961
강남유치원,37.50349434,126.9496744
노량진교회유치원,37.51216327,126.9557513
신라유치원,37.51469857,126.9166496
영은유치원,37.52530289,126.8900758
영중유치원,37.53107325,126.9052332
애동유치원,37.47381393,126.9202811
서울상곡초등학교병설유치원,37.66290401,127.0620747
서울서신초등학교병설유치원,37.59229405,126.9073823
서울장수초등학교병설유치원,37.5129972,126.8451597
현대유치원,37.53011301,127.1193553
자연유치원,37.60315762,126.937484
천사유치원,37.47478856,127.0320819
국제유치원,37.57051313,126.8229443
등대유치원,37.52213326,126.8777896
등촌제일유치원,37.55546786,126.8593734
신일유치원,37.55539072,127.011863
하나유치원,37.61437196,126.9775012
한일유치원,37.56318467,127.0200808
루이유치원,37.60712929,127.0163758
푸른동산유치원,37.4867323,126.8313636
서울신자초등학교병설유치원,37.53024545,127.0755876
한양여자대학교부속유치원,37.55791759,127.0493219
덕수유치원,37.59400181,126.9952992
혜림유치원,37.49433634,127.1352207
푸른꿈유치원,37.50697232,127.1154198
다우림명문유치원,37.64438536,126.9248408
우촌유치원,37.59564089,127.0114006
미래클유치원,37.55238534,126.8229843
하랑숲유치원,37.49604396,126.9817955
서울연천초등학교병설유치원,37.62134929,126.9299179
서울경수초등학교병설유치원,37.54043667,127.0580668
서울당중초등학교병설유치원,37.52628923,126.8894135
꿈모리유치원,37.63375579,127.0724552
꿈동산유치원,37.67018805,127.0546776
서울두산초등학교병설유치원,37.46754839,126.8909461
서울영중초등학교병설유치원,37.5241433,126.9036957
경하유치원,37.5661151,127.0782236
서울동원초등학교병설유치원,37.60466834,127.1042921
서울장평초등학교병설유치원,37.57399502,127.073891
한사랑유치원,37.64787548,127.0483493
무지개나라유치원,37.58457967,126.9181107
동화나라유치원,37.52881678,127.1154242
시연유치원,37.50484933,127.1173887
서울길원초등학교병설유치원,37.60906464,127.0167996
서울대동초등학교병설유치원,37.49370937,126.9004506
밀알유치원,37.49303252,127.1316117
누리에유치원,37.58648311,127.0758051
자인유치원,37.61333701,126.9107406
한일유치원,37.53516529,127.0715175
서울정덕초등학교병설유치원,37.59823995,127.0134213
예린유치원,37.60000258,127.032341
영천유치원,37.61412804,127.0404791
꿈동산유치원,37.63215859,127.0383543
장미유치원,37.56461212,126.8562786
한서유치원,37.53520568,126.8843932
해림유치원,37.54162782,126.8826427
홍신유치원,37.5481092,126.8325565
꿀벌유치원,37.48497537,126.8893181
일신유치원,37.49120549,126.8420267
한신유치원,37.45539127,126.8888776
규전유치원,37.59453831,127.0643178
솔샘유치원,37.65359643,127.0391795
서울유치원,37.56943472,126.9032825
서울선린초등학교병설유치원,37.52976012,127.145594
서울세륜초등학교병설유치원,37.51855781,127.1341633
세인유치원,37.56525166,127.0465263
솔유치원,37.5691096,127.0326727
은선유치원,37.49216728,127.1263268
삼육대학교부속유치원,37.64335737,127.1088503
서울여자대학교부속유치원,37.62738159,127.0916212
명성유치원,37.4655088,126.9270169
상아유치원,37.49757689,126.9446235
서울난곡초등학교병설유치원,37.4691282,126.9163416
신목유치원,37.54637722,126.8702136
아람유치원,37.5794087,126.8125928
동일유치원,37.45193626,126.9158199
럭키유치원,37.45065531,126.8989553
버들유치원,37.49168616,126.8428231
예원유치원,37.60597617,127.0947246
은성유치원,37.59700909,127.0820707
건영유치원,37.48487243,126.9149371
소망유치원,37.50827135,126.9672582
승혜유치원,37.49867189,126.9370774
요요유치원,37.49527344,126.9116905
서울노일유치원,37.67245891,127.0540225
아랑유치원,37.6295747,127.0698687
사랑샘유치원,37.65644173,127.0777183
원암유치원,37.64981417,127.0851926
유화유치원,37.65984652,127.0274583
바다의별유치원,37.61542484,126.9262198
새싹유치원,37.55608713,126.9160482
서울홍파초등학교병설유치원,37.58612038,127.039415
서울화일초등학교병설유치원,37.54071203,126.8474708
서울휘봉초등학교병설유치원,37.58567641,127.0700416
삼성유치원,37.48920432,127.130232
서울서래초등학교병설유치원,37.496404,126.9901565
반포성모유치원,37.50495349,126.9946285
서울잠신초등학교병설유치원,37.51414815,127.0879435
복자유치원,37.5520047,126.9781812
서울명신초등학교병설유치원,37.58145126,127.0146229
세종유치원,37.57541205,126.9700196
일신유치원,37.55670515,126.9789005
서초유치원,37.45609447,127.0162163
서울새솔유치원,37.61761574,127.1099414
서울강남초등학교병설유치원,37.50615814,126.9533591
서울언남초등학교병설유치원,37.45411333,127.0614366
오즈의마법사유치원,37.4639992,127.1062041
미파유치원,37.57023643,127.0858747
서울구의초등학교병설유치원,37.54300744,127.0803118
서울옥수초등학교병설유치원,37.54552939,127.0218696
인수유치원,37.64540501,127.0108819
좋은나라유치원,37.60084117,127.0379642
세아유치원,37.59447253,127.012706
미타유치원,37.54360941,127.0172305
꿈밭유치원,37.50786991,127.0742174
성지유치원,37.51175428,126.9023257
운현유치원,37.44977863,126.9200208
